generation,vial_id,temperature,diet,sex,rep,age,eggs
F0,93,23,1,female,3,33,7
F0,94,23,1,female,4,33,4
F0,95,23,1,female,5,33,1
F0,96,23,1,female,6,33,0
F0,97,23,1,female,7,33,28
F0,98,23,1,female,8,33,5
F0,99,23,1,female,9,33,12
F0,100,23,1,female,10,33,3
F0,111,23,1.5,female,1,33,20
F0,112,23,1.5,female,2,33,32
F0,113,23,1.5,female,3,33,24
F0,114,23,1.5,female,4,33,13
F0,115,23,1.5,female,5,33,26
F0,116,23,1.5,female,6,33,16
F0,117,23,1.5,female,7,33,0
F0,118,23,1.5,female,8,33,22
F0,119,23,1.5,female,9,33,30
F0,120,23,1.5,female,10,33,18
F0,131,25,0.4,female,1,33,0
F0,132,25,0.4,female,2,33,0
F0,133,25,0.4,female,3,33,0
F0,134,25,0.4,female,4,33,0
F0,135,25,0.4,female,5,33,0
F0,136,25,0.4,female,6,33,0
F0,137,25,0.4,female,7,33,0
F0,138,25,0.4,female,8,33,1
F0,139,25,0.4,female,9,33,1
F0,140,25,0.4,female,10,33,0
F0,151,25,1,female,1,33,0
F0,152,25,1,female,2,33,2
F0,153,25,1,female,3,33,35
F0,154,25,1,female,4,33,1
F0,155,25,1,female,5,33,7
F0,156,25,1,female,6,33,8
F0,157,25,1,female,7,33,1
F0,158,25,1,female,8,33,1
F0,159,25,1,female,9,33,2
F0,160,25,1,female,10,33,7
F0,171,25,1.5,female,1,33,15
F0,172,25,1.5,female,2,33,26
F0,173,25,1.5,female,3,33,3
F0,174,25,1.5,female,4,33,10
F0,175,25,1.5,female,5,33,29
F0,176,25,1.5,female,6,33,0
F0,177,25,1.5,female,7,33,1
F0,178,25,1.5,female,8,33,0
F0,179,25,1.5,female,9,33,0
F0,180,25,1.5,female,10,33,66
F0,191,27,0.4,female,1,33,0
F0,192,27,0.4,female,2,33,0
F0,193,27,0.4,female,3,33,0
F0,194,27,0.4,female,4,33,0
F0,195,27,0.4,female,5,33,0
F0,196,27,0.4,female,6,33,0
F0,197,27,0.4,female,7,33,0
F0,198,27,0.4,female,8,33,0
F0,199,27,0.4,female,9,33,0
F0,200,27,0.4,female,10,33,0
F0,211,27,1,female,1,33,1
F0,212,27,1,female,2,33,1
F0,213,27,1,female,3,33,8
F0,214,27,1,female,4,33,0
F0,215,27,1,female,5,33,12
F0,216,27,1,female,6,33,0
F0,217,27,1,female,7,33,4
F0,218,27,1,female,8,33,0
F0,219,27,1,female,9,33,2
